alarm_id,category,code,description,message,reaction,remedy,system
2101,NCK,2101,The undervoltage monitoring (2.4 - 2.6 V) of the NCK battery has responded during cyclic operation.,NCK battery alarm,Alarm display.,"If the NCK battery is replaced without interrupting the power supply, no data will be lost. This means that production can continue without taking any further steps. (A buffer capacitor on the NCK holds the supply voltage for at least 30 minutes and the battery can be replaced within this time even when the control is switched off).",Siemens 840D
2102,NCK,2102,The undervoltage monitoring (2.4 - 2.6 V) of the NCK battery was detected during system power-up.,NCK battery alarm,NC not ready. The NC switches to follow-up mode. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,"Please inform the authorized personnel/service department. Pull out the battery/fan unit from the NC module and replace the battery (type: lithium battery with lead, size 1/2 AA, 850 mAh, min. 3.2 V). The system must then be reinitialized because it must be assumed that data has been lost in the buffered RAM during the last power-off phase as a result of insufficient supply voltage (refer to Section 2.2 in the Installation and Start-up Guide for the procedure). The following data might have bee",Siemens 840D
2110,NCK,2110,The temperature sensor has reached the response threshold of 60 degrees C +/- 2.5 degrees C.,NCK temperature alarm,Alarm display.,"In order to reset the sensor, the temperature must be reduced by 7 degrees C.",Siemens 840D
2120,NCK,2120,"The fan consists of a 26 V DC motor with electronic commutator (rated speed: approx. 8700 rpm). The commutator signal is used for speed monitoring, response speed: < 7500 rpm.",NCK fan alarm,Alarm display.,Please inform the authorized personnel/service department. The unit with the fan and NCK battery must be replaced.,Siemens 840D
2140,NCK,2140,The initialization switch is currently set to overall reset. This means that the module's SRAM is deleted with the next module reset. The NC data memory is cleared during this operation.,The actual service switch position forces the SRAM to be cleared at the,NC not ready. Interface signals are set. Alarm display.,Reset initialization switch to zero.,Siemens 840D
2190,NCK,2190,MD $MN_ASSIGN_DIGITIZE_TO_CHAN was used to activate the digitizing function by assigning it to a channel. The function requires a hardware module (RS422 board plugged into the NCU) for communication with the digitizing unit. This module was not found when booting.,Hardware plug-in module for communication with the digitizer missing,Interface signals are set. Alarm display.,Please inform the authorized personnel/service department. Plug in communications module or cancel channel assignment.,Siemens 840D
2192,NCK,2192,An attempt was made to activate the NCU link functionality but the hardware is not available. The MD was reset. Only occurs with the NCU link system,"No NCU link module exists, MD %1 reset",NC not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,Install the hardware module and activate the function again (MD).,Siemens 840D
2194,NCK,2194,"At least one axis is to be distributed via NCU link, then the machine data $MN_MM_SERVO_FIFO_SIZE must be 3. Occurs only with an NCU link system.",Link axis active and $MN_MM_SERVO_FIFO_SIZE != 3,NC not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,Set $MN_SERVO_FIFO_SIZE to 3.,Siemens 840D
2195,NCK,2195,An attempt was made to activate high-speed nibbling or punching for an axis programmed on a different NCU than the drive.,Channel %1 axis %2 high-speed punching/nibbling not possible via link,Mode group not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm. Channel not ready.,High-speed nibbling and punching is only supported on one NCU.,Siemens 840D
2196,NCK,2196,"Occurs only with an NCU link system. - Possible causes of the fault: - At least one axis is to be distributed via NCU link, then the machine data $MN_MM_SERVO_FIFO_SIZE must be 3 or 4. - The IPO cycle of this NCU is faster than the link communication cycle, then the machine data $MN_MM_SERVO_FIFO_SIZE must be set to the value proposed in the alarm.",Link axis active and $MN_MM_SERVO_FIFO_SIZE != %1,NC not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,The machine data $MN_MM_SERVO_FIFO_SIZE must be set to the value proposed in the alarm.,Siemens 840D
2200,NCK,2200,An attempt was made to activate fast nibbling or punching in a channel while it has already been active in another channel. Fast punching and nibbling is only possible simultaneously in the same channel.,Channel %1 fast punching/nibbling not possible in several channels,NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,Fast nibbling and punching simultaneously in 1 channel only.,Siemens 840D
2900,NCK,2900,"This alarm indicates a delayed reboot. This alarm only occurs when reboot was carried out by the MMC via PI - ""_N_IBN_SS""and MD 11410 $MN_REBOOT_DELAY_TIME was set greater than zero. The alarm can be suppressed with $MN_SUPPRESS_ALARM_MASK BIT 20.",Reboot is delayed,"NC not ready. The NC switches to follow-up mode. Mode group not ready, also effective for single axes Interpreter stop NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm. Alarm reaction delay is cancelled.",See $MN_REBOOT_DELAY_TIME and $MN_SUPPRESS_ALARM_MASK.,Siemens 840D
3000,NCK,3000,The EMERGENCY STOP request is applied to the NCK/PLC interface DB10 DBX56.1 (Emergency stop).,Emergency stop,"NC not ready. Mode group not ready, also effective for single axes NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm. Alarm reaction delay is cancelled.","Please inform the authorized personnel/service department. Rectify the cause of EMERGENCY STOP, and acknowledge EMERGENCY STOP via the PLC/NCK interface DB10 DBX56.1 (Emergency stop).",Siemens 840D
3001,NCK,3001,This alarm is not displayed.,Internal emergency stop,"NC not ready. Local alarm reaction. Mode group not ready, also effective for single axes NC Start disable in this channel. NC Stop on alarm.",No remedy required,Siemens 840D
4000,NCK,4000,The assignment of a machine axis to a channel by the machine data 20070 AXCONF_MACHAX_USED must be contiguous. At system power-up (Power On) gaps are detected and displayed as an alarm.,Channel %1 machine data %2[%3] has gap in axis assignment,"NC not ready. Mode group not ready, also effective for single axes NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.",Please inform the authorized personnel/service department. The entries for the indices for the machine axes used in the channels must be contiguous in table $MC_AXCONF_MACHAX_USED. Channel axis gaps must be enabled via $MN_ENABLE_CHAN_AX_GAP.,Siemens 840D
4001,NCK,4001,"In the channel-specific MD: 20070 AXCONF_MACHAX_USED [CHn, AXm]=x (n ... channel number, m ... channel axis number, x ... machine axis number), several channels were assigned to a machine axis without having a master channel defined for this axis. -",Channel %1 axis %2 defined for more than one channel via machine data,"NC not ready. Mode group not ready, also effective for single axes NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.","Please inform the authorized personnel/service department. In the axis-specific MD 30550 AXCONF_ASSIGN_MASTER_CHAN [AXm]=n (m ... machine axis number, n ... channel number), a master axis was set for the axes that are supposed to be alternately assigned by the NC program to one or the other channel.",Siemens 840D
20070,NCK,20070,AXCONF_MACHAX_USED [kx]=m may be declared as geometry axes or transformation axes ,AXCONF_MACHAX_USED [kx]=m may be declared as geometry axes or transformation axes,"NC not ready. Mode group not ready, also effective for single axes NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.",Please inform the authorized personnel/service department. Check and correct either - $MC_GEOAX_ASSIGN_TAB - $MC_TRAFO_AXES_IN_X - $MC_TRAFO_GEOAX_ASSIGN_TAB_X - $MC_FGROUP_DEFAULT_AXES - and/or $MC_AXCONF_MACHAX_USED.,Siemens 840D
4003,NCK,4003,"For some applications, it is useful to operate an axis in several channels (C axis or spindle on single spindle or double carriage machines). The machine axes which are defined through the channel-specific MD 20070 AXCONF_MACHAX_USED in several channels, must be assigned to a master channel with the axisspecific MD 30550 AXCONF_ASSIGN_MASTER_CHAN. For axes that are activated in one channel only, the number of this channel or zero must be entered as a master channel.",Axis %1 incorrect assignment of master channel in machine data %2,NC not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,Please inform the authorized personnel/service department. Modify MD 20070: AXCONF_MACHAX_USED and/or MD 30550: AXCONF_ASSIGN_MASTER_CHAN.,Siemens 840D
4004,NCK,4004,An axis may only be defined once as a geometry axis.,Channel %1 machine data %2 axis %3 defined repeatedly as geometry,Mode group not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,Correct $MC_GEOAX_ASSIGN_TAB.,Siemens 840D
4005,NCK,4005,Machine data $MC_AXCONF_MACHAX_USED defines which machine axes can be used in this channel. This simultaneously defines the number of active axes in the channel. This upper limit has been exceeded. Note: The channel axis gaps may cause certain indices of AXCONF_MACHAX_USED to remain unused and therefore do not count as active channel axes. Example: - CHANDATA(2) - $MC_AXCONF_MACHAX_USED[0] = 7 - $MC_AXCONF_MACHAX_USED[1] = 8 - $MC_AXCONF_MACHAX_USED[2] = 0 - $MC_AXCONF_MACHAX_USED[3] = 3 - $MC_A,Channel %1: maximum number of axes in channel %1 exceeded. Limit,NC not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,Modify $MC_AXCONF_MACHAX_USED.,Siemens 840D
4006,NCK,4006,The sum of the two option data $ON_NUM_AXES_IN_SYSTEM and $ON_NUM_ADD_AXES_IN_SYSTEM must not exceed the maximum number of axes in the system.,The maximum number of activatable axes has been exceeded (limit %1),"NC not ready. Mode group not ready, also effective for single axes NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.",Please inform the authorized personel/service department. The sum of the two option data $ON_NUM_AXES_IN_SYSTEM and $ON_NUM_ADD_AXES_IN_SYSTEM must not exceed the maximum number of axes (dependent on configuration).,Siemens 840D
4007,NCK,4007,"Machine axes which can be activated on several NCKs through $MN_AXCONF_LOGIC_MACHAX_TAB must be assigned to a master NCU in $MA_AXCONF_ASSIGN_MASTER_NCU. For axes that are activated on only one NCU, the number of this NCU or 0 must be entered as master NCU. An assignment can only be made with $MA_AXCONF_ASSIGN_MASTER_NCU if the machine axis is also addressed via a channel ($MC_AXCONF_MACHAX_USED+$MN_AXCONF_LOGIC_MACHAX_TAB).",Axis %1 incorrect assignment of master NCU in machine data %2,NC not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,Correct $MA_AXCONF_ASSIGN_MASTER_NCU and/or $MN_AXCONF_LOGIC_MACHAX_TAB.,Siemens 840D
4010,NCK,4010,"When determining a name in the NCK tables (arrays) for: machine axes, Euler angles, direction vectors, normal vectors, interpolation parameters and intermediate point coordinates, one of the following syntax rules for the identifier to be entered has been violated: - The identifier must be an NC address letter (A, B, C, I, J, K, Q, U, V, W, X, Y, Z), possibly with a numerical extension (840D: 1-99) - The identifier must begin with any 2 capital letters but not with $ (reserved for system variab",Invalid identifier used in machine data %1[%2],"NC not ready. Mode group not ready, also effective for single axes NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.",Please inform the authorized personnel/service department. Enter the identifier for user-defined names with correct syntax in the displayed MD. - Machine axes: AXCONF_MACHAX_NAME_TAB - Euler angles: EULER_ANGLE_NAME_TAB - Normal vectors: NORMAL_VECTOR_NAME_TAB - Direction vectors: 10640 DIR_VECTOR_NAME_TAB - Interpolation parameters: 10650 IPO_PARAM_NAME_TAB - Intermediate point coordinates: 10660 INTERMEDIATE_POINT_NAME_TAB,Siemens 840D
4011,NCK,4011,"When defining names in the channel-specific tables for geometry axes and channel axes, one of the following syntax rules for the identifier to be entered has been violated: - The identifier must be an NC address letter (A, B, C, I, J, K, U, V, W, X, Y, Z), possibly with a numerical extension (840D: 1-99). - The identifier must begin with any 2 capital letters but not with $ (reserved for system variables). - The identifier must not be a keyword of the NC language (e.g. POSA).",Channel %1 invalid identifier used in machine data %2[%3],"NC not ready. Mode group not ready, also effective for single axes NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.",Please inform the authorized personnel/service department. Enter the identifier for user-defined names with correct syntax in the displayed MD - Geometry axes: 20060 AXCONF_GEOAX_NAME_TAB - Channel axes: 10000 AXCONF_MACHAX_NAME_TAB,Siemens 840D
4012,NCK,4012,"The selected identifier is invalid. Valid identifiers are: - AX1 - AXn: Machine axis identifiers - N1AX1 - NnAXm: Link axis identifiers (NCU + machine axis), only occurs with 'NCU link' expansion level! - C1S1 - CnSm: Container axis identifiers (container + container location). Only occurs with 'axis container' expansion level!",Invalid identifier used in machine data %1[%2],NC not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,Use the correct identifier.,Siemens 840D
4013,NCK,4013,"The link module configuration detected on the local NCU is different from the master NCU of the NCU cluster. The link module configuration defines the system clock time, the communication baudrate and the maximum number of message transfer retries. The following machine data are used for this purpose: - SYSCLOCK_SAMPL_TIME_RATIO, - IPO_SYSCLOCK_TIME_RATIO, - LINK_RETRY_CTR, - LINK_BAUDRATE_SWITCH, - SYSCLOCK_CYCLE_TIME The values of these machine data must be the same on all NCUs.","Invalid NCU link configuration by machine data %1 = %2 , on NCU_1 = %3",NC not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,The machine data required for the link module configuration must be the same on all NCUs in the cluster.,Siemens 840D
4014,NCK,4014,An axis was assigned several times. The axis can be a: - Machine axis - Link axis - Axis in a container location,Axis %1 defined several times in %2,NC not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,"Define a correct, unique axis assignment.",Siemens 840D
4016,NCK,4016,An attempt was made to apply setpoints to one axis from several NCUs. Only occurs with the NCU link system,Axis %1 already used by NCU %2,NC not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,"Define a correct, unique axis assignment.",Siemens 840D
4017,NCK,4017,"A multiple reference to the axis container location has been made via the logical axis table (machine data: MN_AXCONF_LOGIC_MACHAX_TAB). With the NCU link, the multiple reference may also have been made by another NCU in the NCU group. Example: Container1 location1 was referenced twice incorrectly - MN_AXCONF_LOGIC_MACHAX_TAB[0] = CT1_SL1 - MN_AXCONF_LOGIC_MACHAX_TAB[6] = CT1_SL1","Axis container %1, location %2 already used by NCU %3",NC not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,Correct and complete the container location assignments. Check the machine data for the logical axis assignment table (MN_AXCONF_LOGIC_MACHAX_TAB),Siemens 840D
4018,NCK,4018,The container location is not referenced by any channel.,"Axis container %1, location %2 not used by any channel",NC not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,Correct and complete the container location assignments. Check machine data MC_AXCONF_MACHAX_USED and MN_AXCONF_LOGIC_MACHAX_TAB.,Siemens 840D
4019,NCK,4019,"This error only occurs with direct advancing of the container. With direct container advancing, only one channel is allowed to activate the NC language command for advancing the container. In order to ensure this, the other channels must have the reset status and the axes must be stationary. With NCU link, the above condition applies to all channels of the NCU group. Error parameters: - 1 : NC Ready missing - 16: At least one other channel is active - 35: AXCT axis is active following axis/spind",Axis container %1 advance not allowed with current status of NCU %2,Interpreter stop NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,The program must be canceled with Reset and the zero offset deselected before activating the axis container switch.,Siemens 840D
4020,NCK,4020,"When determining a name in the NCK tables (arrays) for: machine axes, Euler angles, Richtungsvektoren, direction vectors, interpolation parameters and intermediate point coordinates, an identifier has been used that is already in the control.",Identifier %1 used several times in machine data %2,"NC not ready. Mode group not ready, also effective for single axes NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.",Please inform the authorized personnel/service department. Select for the identifier to be entered a character string that is not yet used in the system (max. 32 characters).,Siemens 840D
4021,NCK,4021,To determine the name in the channel-specific tables for geometry axes and channel axes an identifier already existing in the control has been used.,Channel %1 identifier %2 used several times in machine data %3,"NC not ready. Mode group not ready, also effective for single axes NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.",Please inform the authorized personnel/service department. Select for the identifier to be entered a character string that is not yet used in the system (max. 32 characters).,Siemens 840D
4022,NCK,4022,The axis container switch enable cannot be given because an external zero offset is active.,Channel %1 axis %2: axis container %3 switch not allowed: ext. work,Interpreter stop NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,The program must be aborted with the RESET key and the external zero point offset deselected before the container is advanced.,Siemens 840D
4023,NCK,4023,Only one axis container can be rotated at a time.,"Axis container %1 switch not allowed, axis container %2 switch active",Interpreter stop NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,"Program must be canceled with Reset and the program sequences (NCUs, channels) must be synchronized such that only one axis container switch is active at a time.",Siemens 840D
4024,NCK,4024,The axis configuration could not be generated due to missing axis container machine data. This error can only occur as a result of a communication error. The communication failure will be indicated separately by further alarms.,Invalid axis configuration due to missing axis container machine data,NC not ready. Interpreter stop NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,Correct the link communication problems (refer to the other alarm messages).,Siemens 840D
4025,NCK,4025,It is not possible to enable axis container switch as a master/slave link is active.,Channel %1 axis %2: axis container %3 switch not allowed: master/slave,Interpreter stop NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,"Abort program with the RESET key. If required, disconnect the master - slave coupling.",Siemens 840D
4026,NCK,4026,The link axis is not referenced by any channel.,"Machine data %1[%2], link axis NC%3_AX%4 not used by any channel",NC not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,Correct and complete the logical axis assignments. Check machine data MC_AXCONF_MACHAX_USED and MN_AXCONF_LOGIC_MACHAX_TAB.,Siemens 840D
4027,NCK,4027,Message to the user indicating that the machine data change for the axis was also performed for all other axes in the same container.,NOTICE! MD %1 was also changed for the other axes of axis container,Alarm display.,None,Siemens 840D
4028,NCK,4028,"Note for the user, that the machine data of the axis were matched in the axis containers.",Attention! The axial MDs of the axes of the axis containers were,Alarm display.,None,Siemens 840D
4029,NCK,4029,"Message to the user indicating that the machine data of the axes in the axis container will be matched on the next power-up. An axis container allows axes to be exchanged between channels and NCUs. To ensure that no conflicts arise, the axes within the same axis container must have a similar behavior. The first axis in the axis container determines which machine data have to be the same for the other axis in the axis container.",NOTICE! The axial MDs in axis container %1 will be matched on the next,Alarm display.,None,Siemens 840D
4031,NCK,4031,-,Channel %1 link axis %2 defined for more than one channel in machine,NC not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,"Correct the machine data $MC_AXCONF_MACHAX_USED or assign a master channel. In the event of a link communication failure, these error causes have to be remedied first.",Siemens 840D
4032,NCK,4032,"According to the axis configuration in $MC_GCODE_RESET_VALUES or $MC_DIAMETER_AX_DEF, a facing axis identifier is expected at the specified location.",Channel %1 wrong identifier for facing axis in %2,Mode group not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,Please inform the authorized personnel/service department. Add the correct identifier.,Siemens 840D
4033,NCK,4033,"The NCU link communication could not be established due to other active alarms. This is the case, for example, if during boot-up the system detects and modifies incorrect cycle times (see alarm 4110).",NOTICE! NCU link communication still not connected,NC not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,Analyze and fix the other alarms and start the control again.,Siemens 840D
4034,NCK,4034,Local link axes are only permissible on an NCU if the interpolation cycle set corresponds to the slowest interpolation cycle of the interconnected NCU systems.,Local link axis %1 is not allowed for different interpolation cycle time =,NC not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,Remove local link axis (see MN_AXCONF_MACHAX_NAME_TAB and MN_AXCT_AXCONF_ASSIGN_TAB1) or adapt the interpolation cycle (MN_IPO_SYSCLOCK_TIME_RATIO).,Siemens 840D
4035,NCK,4035,Occurs only with an NCU link system. The interpolation cycles of the NCUs specified in the alarm do not match one another. The slowest IPO cycle in interconnected NCU systems must be an integral multiple of all configured IPO cycles.,Interpolation cycle from NCU%1 = %2 does not match NCU%3 = %4,NC not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,Set a suitable value in MN_IPO_SYSCLOCK_TIME_RATIO for all interconnected NCUs.,Siemens 840D
